Year,0,25,50,75,100,125,150,175,200,500
2020,0.967,0,0,0,0,0,0,0,0,0
2030,0.963,0.031,0,0,0,0,0,0,0,0
2040,0.794,0.204,0,0,0,0,0,0,0,0
2050,0.37,0.579,0.05,0,0,0,0,0,0,0
2060,0.086,0.529,0.334,0.051,0,0,0,0,0,0
2070,0.01,0.203,0.43,0.257,0.087,0.013,0,0,0,0
2080,0,0.051,0.232,0.317,0.199,0.128,0.06,0.012,0.001,0
2090,0,0.004,0.081,0.208,0.247,0.173,0.116,0.096,0.075,0
2100,0,0,0.014,0.086,0.172,0.201,0.164,0.101,0.262,0
