"","race_eth","count_scc","count_smc","total"
"1","Black",54,24,78
"2","Asian",443,155,598
"3","Latino/Hispanic",529,124,653
"4","Pacific Islander",9,13,22
"5","White",577,207,784
"6","Other",110,2,112
"7","Unknown",136,9,145
