"","age_group","count_scc","count_smc","total"
"1","19 or under",4,0,4
"2","20-29",15,1,16
"3","30-39",45,9,54
"4","40-49",87,27,114
"5","50-59",212,61,273
"6","60-69",367,106,473
"7","70-79",484,165,649
"8","80+",1092,397,1489
"9","Unknown",0,0,0
